record_id,question_id,model_a,model_b,winner,judge,conversation_a,conversation_b,turn,anony,language,tstamp,openai_moderation,toxicity,redacted,prompt_text,response_a_text,response_b_text,prompt_len,response_a_len,response_b_len,len_diff,abs_len_diff,battle_date,battle_hour,battle_month,topic_name
1,Q00001,chatglm-6b,palm-2,model_b,demo_user_12,"[{""role"": ""user"", ""content"": ""Make a seven-day study plan for learning data analysis.""}, {""role"": ""assistant"", ""content"": ""[chatglm-6b] The topic is organized into definitions, examples, and a short practice plan. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]","[{""role"": ""user"", ""content"": ""Make a seven-day study plan for learning data analysis.""}, {""role"": ""assistant"", ""content"": ""[palm-2] The topic is organized into definitions, examples, and a short practice plan. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]",1,True,English,2023-07-02 17:00:00,"{""flagged"": false}",0.0257,False,Make a seven-day study plan for learning data analysis.,"[chatglm-6b] The topic is organized into definitions, examples, and a short practice plan. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point","[palm-2] The topic is organized into definitions, examples, and a short practice plan. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point",55,270,266,4,4,2023-07-02,17,2023-07,学习辅导
2,Q00002,vicuna-13b,chatglm-6b,model_b,demo_user_54,"[{""role"": ""user"", ""content"": ""Write a Python function to sort a list and explain its complexity.""}, {""role"": ""assistant"", ""content"": ""[vicuna-13b] Here is a structured solution with code, explanation, and complexity analysis. Detailed point Detailed point Detailed point Detailed point Detailed point""}]","[{""role"": ""user"", ""content"": ""Write a Python function to sort a list and explain its complexity.""}, {""role"": ""assistant"", ""content"": ""[chatglm-6b] Here is a structured solution with code, explanation, and complexity analysis. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]",1,True,English,2023-07-02 16:00:00,"{""flagged"": false}",0.0575,False,Write a Python function to sort a list and explain its complexity.,"[vicuna-13b] Here is a structured solution with code, explanation, and complexity analysis. Detailed point Detailed point Detailed point Detailed point Detailed point","[chatglm-6b] Here is a structured solution with code, explanation, and complexity analysis. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point",66,166,421,-255,255,2023-07-02,16,2023-07,编程开发
3,Q00003,gpt-4,claude-v1,tie,demo_user_12,"[{""role"": ""user"", ""content"": ""请写一段关于人工智能教育应用的短文。""}, {""role"": ""assistant"", ""content"": ""[gpt-4] Below is a clear and polished draft adapted to the requested tone. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]","[{""role"": ""user"", ""content"": ""请写一段关于人工智能教育应用的短文。""}, {""role"": ""assistant"", ""content"": ""[claude-v1] Below is a clear and polished draft adapted to the requested tone. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]",1,True,Chinese,2023-04-18 02:00:00,"{""flagged"": false}",0.0163,False,请写一段关于人工智能教育应用的短文。,[gpt-4] Below is a clear and polished draft adapted to the requested tone. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point,[claude-v1] Below is a clear and polished draft adapted to the requested tone. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point,18,479,348,131,131,2023-04-18,2,2023-04,其他主题
4,Q00004,gpt-4,llama-2-70b-chat,model_a,demo_user_38,"[{""role"": ""user"", ""content"": ""Explain the difference between affect and effect.""}, {""role"": ""assistant"", ""content"": ""[gpt-4] The translation is provided first, followed by a brief language explanation. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]","[{""role"": ""user"", ""content"": ""Explain the difference between affect and effect.""}, {""role"": ""assistant"", ""content"": ""[llama-2-70b-chat] The translation is provided first, followed by a brief language explanation. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]",1,True,Spanish,2023-07-03 21:00:00,"{""flagged"": false}",0.0267,False,Explain the difference between affect and effect.,"[gpt-4] The translation is provided first, followed by a brief language explanation. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point","[llama-2-70b-chat] The translation is provided first, followed by a brief language explanation. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point",49,414,215,199,199,2023-07-03,21,2023-07,知识问答
5,Q00005,vicuna-13b,claude-v1,model_b,demo_user_11,"[{""role"": ""user"", ""content"": ""Summarize the key differences between classification and clustering.""}, {""role"": ""assistant"", ""content"": ""[vicuna-13b] The topic is organized into definitions, examples, and a short practice plan. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]","[{""role"": ""user"", ""content"": ""Summarize the key differences between classification and clustering.""}, {""role"": ""assistant"", ""content"": ""[claude-v1] The topic is organized into definitions, examples, and a short practice plan. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]",1,True,Chinese,2023-05-20 01:00:00,"{""flagged"": false}",0.0547,False,Summarize the key differences between classification and clustering.,"[vicuna-13b] The topic is organized into definitions, examples, and a short practice plan. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point","[claude-v1] The topic is organized into definitions, examples, and a short practice plan. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point",68,495,194,301,301,2023-05-20,1,2023-05,知识问答
6,Q00006,chatglm-6b,palm-2,model_b,demo_user_10,"[{""role"": ""user"", ""content"": ""请证明两个奇数之和是偶数。""}, {""role"": ""assistant"", ""content"": ""[chatglm-6b] We solve the problem step by step and verify the result. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]","[{""role"": ""user"", ""content"": ""请证明两个奇数之和是偶数。""}, {""role"": ""assistant"", ""content"": ""[palm-2] We solve the problem step by step and verify the result. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]",1,True,Chinese,2023-07-29 10:00:00,"{""flagged"": false}",0.0535,False,请证明两个奇数之和是偶数。,[chatglm-6b] We solve the problem step by step and verify the result. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point,[palm-2] We solve the problem step by step and verify the result. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point,13,219,305,-86,86,2023-07-29,10,2023-07,数学推理
7,Q00007,vicuna-13b,claude-v1,model_b,demo_user_72,"[{""role"": ""user"", ""content"": ""What are the main causes of climate change?""}, {""role"": ""assistant"", ""content"": ""[vicuna-13b] The concept can be understood through the following concise explanation. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]","[{""role"": ""user"", ""content"": ""What are the main causes of climate change?""}, {""role"": ""assistant"", ""content"": ""[claude-v1] The concept can be understood through the following concise explanation. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]",1,True,English,2023-07-18 21:00:00,"{""flagged"": false}",0.0334,False,What are the main causes of climate change?,[vicuna-13b] The concept can be understood through the following concise explanation. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point,[claude-v1] The concept can be understood through the following concise explanation. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point,43,235,369,-134,134,2023-07-18,21,2023-07,其他主题
8,Q00008,palm-2,llama-2-70b-chat,model_a,demo_user_28,"[{""role"": ""user"", ""content"": ""Write a Python function to sort a list and explain its complexity.""}, {""role"": ""assistant"", ""content"": ""[palm-2] Here is a structured solution with code, explanation, and complexity analysis. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]","[{""role"": ""user"", ""content"": ""Write a Python function to sort a list and explain its complexity.""}, {""role"": ""assistant"", ""content"": ""[llama-2-70b-chat] Here is a structured solution with code, explanation, and complexity analysis. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]",1,True,English,2023-05-24 08:00:00,"{""flagged"": false}",0.0764,False,Write a Python function to sort a list and explain its complexity.,"[palm-2] Here is a structured solution with code, explanation, and complexity analysis. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point","[llama-2-70b-chat] Here is a structured solution with code, explanation, and complexity analysis. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point",66,282,202,80,80,2023-05-24,8,2023-05,编程开发
9,Q00009,chatglm-6b,llama-2-70b-chat,model_b,demo_user_34,"[{""role"": ""user"", ""content"": ""请用通俗语言解释 Pandas 的 groupby 用法。""}, {""role"": ""assistant"", ""content"": ""[chatglm-6b] The topic is organized into definitions, examples, and a short practice plan. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]","[{""role"": ""user"", ""content"": ""请用通俗语言解释 Pandas 的 groupby 用法。""}, {""role"": ""assistant"", ""content"": ""[llama-2-70b-chat] The topic is organized into definitions, examples, and a short practice plan. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]",1,True,Chinese,2023-07-01 15:00:00,"{""flagged"": false}",0.0296,False,请用通俗语言解释 Pandas 的 groupby 用法。,"[chatglm-6b] The topic is organized into definitions, examples, and a short practice plan. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point","[llama-2-70b-chat] The topic is organized into definitions, examples, and a short practice plan. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point",29,225,291,-66,66,2023-07-01,15,2023-07,知识问答
10,Q00010,claude-v1,chatglm-6b,model_a,demo_user_20,"[{""role"": ""user"", ""content"": ""简述大语言模型中注意力机制的作用。""}, {""role"": ""assistant"", ""content"": ""[claude-v1] The concept can be understood through the following concise explanation. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]","[{""role"": ""user"", ""content"": ""简述大语言模型中注意力机制的作用。""}, {""role"": ""assistant"", ""content"": ""[chatglm-6b] The concept can be understood through the following concise explanation. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]",1,True,Chinese,2023-04-19 09:00:00,"{""flagged"": false}",0.0334,False,简述大语言模型中注意力机制的作用。,[claude-v1] The concept can be understood through the following concise explanation. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point,[chatglm-6b] The concept can be understood through the following concise explanation. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point,17,399,385,14,14,2023-04-19,9,2023-04,知识问答
