battle_date,count
1969-12-31,1
2023-04-01,5
2023-04-02,6
2023-04-03,5
2023-04-04,6
2023-04-05,8
2023-04-06,4
2023-04-07,10
2023-04-08,6
2023-04-09,2
2023-04-10,6
2023-04-11,6
2023-04-12,7
2023-04-13,7
2023-04-14,6
2023-04-15,4
2023-04-16,13
2023-04-17,4
2023-04-18,9
2023-04-19,7
2023-04-20,4
2023-04-21,8
2023-04-22,9
2023-04-23,4
2023-04-24,11
2023-04-25,5
2023-04-26,8
2023-04-27,9
2023-04-28,5
2023-04-29,4
2023-04-30,2
2023-05-01,4
2023-05-02,9
2023-05-03,6
2023-05-04,3
2023-05-05,7
2023-05-06,6
2023-05-07,8
2023-05-08,6
2023-05-09,6
2023-05-10,3
2023-05-11,6
2023-05-12,8
2023-05-13,8
2023-05-14,5
2023-05-15,9
2023-05-16,5
2023-05-17,4
2023-05-18,4
2023-05-19,11
2023-05-20,7
2023-05-21,4
2023-05-22,5
2023-05-23,6
2023-05-24,5
2023-05-25,6
2023-05-26,7
2023-05-27,5
2023-05-28,3
2023-05-29,11
2023-05-30,5
2023-05-31,6
2023-06-01,7
2023-06-02,7
2023-06-03,7
2023-06-04,6
2023-06-05,11
2023-06-06,3
2023-06-07,13
2023-06-08,8
2023-06-09,5
2023-06-10,9
2023-06-11,6
2023-06-12,5
2023-06-13,2
2023-06-14,5
2023-06-15,13
2023-06-16,11
2023-06-17,7
2023-06-18,9
2023-06-19,3
2023-06-20,8
2023-06-21,8
2023-06-22,5
2023-06-23,9
2023-06-24,8
2023-06-25,7
2023-06-26,5
2023-06-27,3
2023-06-28,5
2023-06-29,11
2023-06-30,4
2023-07-01,5
2023-07-02,3
2023-07-03,6
2023-07-04,9
2023-07-05,10
2023-07-06,5
2023-07-07,7
2023-07-08,11
2023-07-09,8
2023-07-10,6
2023-07-11,8
2023-07-12,5
2023-07-13,4
2023-07-14,9
2023-07-15,9
2023-07-16,5
2023-07-17,2
2023-07-18,7
2023-07-19,6
2023-07-20,12
2023-07-21,7
2023-07-22,10
2023-07-23,9
2023-07-24,11
2023-07-25,11
2023-07-26,4
2023-07-27,6
2023-07-28,11
2023-07-29,3
