question_id,model_a,model_b,winner,judge,conversation_a,conversation_b,turn,anony,language,tstamp,openai_moderation,toxicity,redacted
Q00001,chatglm-6b,palm-2,model_b,demo_user_12,"[{""role"": ""user"", ""content"": ""Make a seven-day study plan for learning data analysis.""}, {""role"": ""assistant"", ""content"": ""[chatglm-6b] The topic is organized into definitions, examples, and a short practice plan. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]","[{""role"": ""user"", ""content"": ""Make a seven-day study plan for learning data analysis.""}, {""role"": ""assistant"", ""content"": ""[palm-2] The topic is organized into definitions, examples, and a short practice plan. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]",1,True,English,1688317200,"{""flagged"": false}",0.0257,False
Q00002,vicuna-13b,chatglm-6b,model_b,demo_user_54,"[{""role"": ""user"", ""content"": ""Write a Python function to sort a list and explain its complexity.""}, {""role"": ""assistant"", ""content"": ""[vicuna-13b] Here is a structured solution with code, explanation, and complexity analysis. Detailed point Detailed point Detailed point Detailed point Detailed point""}]","[{""role"": ""user"", ""content"": ""Write a Python function to sort a list and explain its complexity.""}, {""role"": ""assistant"", ""content"": ""[chatglm-6b] Here is a structured solution with code, explanation, and complexity analysis. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]",1,True,English,1688313600,"{""flagged"": false}",0.0575,False
Q00003,gpt-4,claude-v1,tie (bothbad),demo_user_12,"[{""role"": ""user"", ""content"": ""请写一段关于人工智能教育应用的短文。""}, {""role"": ""assistant"", ""content"": ""[gpt-4] Below is a clear and polished draft adapted to the requested tone. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]","[{""role"": ""user"", ""content"": ""请写一段关于人工智能教育应用的短文。""}, {""role"": ""assistant"", ""content"": ""[claude-v1] Below is a clear and polished draft adapted to the requested tone. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]",1,True,Chinese,1681783200,"{""flagged"": false}",0.0163,False
Q00004,gpt-4,llama-2-70b-chat,model_a,demo_user_38,"[{""role"": ""user"", ""content"": ""Explain the difference between affect and effect.""}, {""role"": ""assistant"", ""content"": ""[gpt-4] The translation is provided first, followed by a brief language explanation. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]","[{""role"": ""user"", ""content"": ""Explain the difference between affect and effect.""}, {""role"": ""assistant"", ""content"": ""[llama-2-70b-chat] The translation is provided first, followed by a brief language explanation. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]",1,True,Spanish,1688418000,"{""flagged"": false}",0.0267,False
Q00005,vicuna-13b,claude-v1,model_b,demo_user_11,"[{""role"": ""user"", ""content"": ""Summarize the key differences between classification and clustering.""}, {""role"": ""assistant"", ""content"": ""[vicuna-13b] The topic is organized into definitions, examples, and a short practice plan. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]","[{""role"": ""user"", ""content"": ""Summarize the key differences between classification and clustering.""}, {""role"": ""assistant"", ""content"": ""[claude-v1] The topic is organized into definitions, examples, and a short practice plan. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]",1,True,Chinese,1684544400,"{""flagged"": false}",0.0547,False
Q00006,chatglm-6b,palm-2,model_b,demo_user_10,"[{""role"": ""user"", ""content"": ""请证明两个奇数之和是偶数。""}, {""role"": ""assistant"", ""content"": ""[chatglm-6b] We solve the problem step by step and verify the result. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]","[{""role"": ""user"", ""content"": ""请证明两个奇数之和是偶数。""}, {""role"": ""assistant"", ""content"": ""[palm-2] We solve the problem step by step and verify the result. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]",1,True,Chinese,1690624800,"{""flagged"": false}",0.0535,False
Q00007,vicuna-13b,claude-v1,model_b,demo_user_72,"[{""role"": ""user"", ""content"": ""What are the main causes of climate change?""}, {""role"": ""assistant"", ""content"": ""[vicuna-13b] The concept can be understood through the following concise explanation. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]","[{""role"": ""user"", ""content"": ""What are the main causes of climate change?""}, {""role"": ""assistant"", ""content"": ""[claude-v1] The concept can be understood through the following concise explanation. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]",1,True,English,1689714000,"{""flagged"": false}",0.0334,False
Q00008,palm-2,llama-2-70b-chat,model_a,demo_user_28,"[{""role"": ""user"", ""content"": ""Write a Python function to sort a list and explain its complexity.""}, {""role"": ""assistant"", ""content"": ""[palm-2] Here is a structured solution with code, explanation, and complexity analysis. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]","[{""role"": ""user"", ""content"": ""Write a Python function to sort a list and explain its complexity.""}, {""role"": ""assistant"", ""content"": ""[llama-2-70b-chat] Here is a structured solution with code, explanation, and complexity analysis. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]",1,True,English,1684915200,"{""flagged"": false}",0.0764,False
Q00009,chatglm-6b,llama-2-70b-chat,model_b,demo_user_34,"[{""role"": ""user"", ""content"": ""请用通俗语言解释 Pandas 的 groupby 用法。""}, {""role"": ""assistant"", ""content"": ""[chatglm-6b] The topic is organized into definitions, examples, and a short practice plan. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]","[{""role"": ""user"", ""content"": ""请用通俗语言解释 Pandas 的 groupby 用法。""}, {""role"": ""assistant"", ""content"": ""[llama-2-70b-chat] The topic is organized into definitions, examples, and a short practice plan. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]",1,True,Chinese,1688223600,"{""flagged"": false}",0.0296,False
Q00010,claude-v1,chatglm-6b,model_a,demo_user_20,"[{""role"": ""user"", ""content"": ""简述大语言模型中注意力机制的作用。""}, {""role"": ""assistant"", ""content"": ""[claude-v1] The concept can be understood through the following concise explanation. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]","[{""role"": ""user"", ""content"": ""简述大语言模型中注意力机制的作用。""}, {""role"": ""assistant"", ""content"": ""[chatglm-6b] The concept can be understood through the following concise explanation. Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point Detailed point""}]",1,True,Chinese,1681894800,"{""flagged"": false}",0.0334,False
